sentence,label
"
                    It looks like you're using an ad blocker.",building
"
                    To enjoy our content, please include The Japan Times on your ad-blocker's list of approved sites.",building
"
                    Thank you for supporting our journalism.",building
Discover Thomson Reuters,building
By Reuters Staff,building
2 Min Read,building
"(Reuters) - An earthquake of magnitude 6.8 struck west-central Argentina on Monday, followed by at least five aftershocks that shook buildings and sent products tumbling off supermarket shelves, but there were no immediate reports of injuries.",building
"The quake hit at a depth of 10 km (6 miles), the German Research Center for Geosciences (GFZ) said, with its epicentre located 40 km (25 miles) south of the province of San Juan.",building
"The aftershocks ranged in magnitude from 3.5 to 5, the European Mediterranean Seismological Centre (EMSC) said.",building
"Posts on social media showed many homes and buildings shaking, with the seismic activity leaving cracks in roads, while glass bottles fell off the shelves in shops.",building
San Juan Governor Sergio Uñac urged people to remain calm following the earthquake and called on them to reach out in case they need any assistance.,building
"""Let us put into practice all the measures we have learned to prevent incidents, while we are committed to knowing the impact of the (earthquake) to collaborate in everything necessary,"" he said bit.ly/3qyOf4a in a tweet, advising those who suffered damage or in need of assistance to call the emergency number 911.",building
"No tsunami warning was issued, the U.S. Tsunami Warning System said.",building
Reporting by Bhargav Acharya in Bengaluru; Editing by Himani Sarkar and Clarence Fernandez & Shri Navaratnam,building
Our Standards: The Thomson Reuters Trust Principles.,building
Trending Stories,building
Reuters News Now,building
Subscribe to our daily curated newsletter to receive the latest exclusive Reuters coverage delivered to your inbox.,building
All quotes delayed a minimum of 15 minutes.,building
See here for a complete list of exchanges and delays.,building
Discover Thomson Reuters,building
By Reuters Staff,building
2 Min Read,building
"(Reuters) - An earthquake of magnitude 6.8 struck west-central Argentina on Monday, followed by at least five aftershocks that shook buildings and sent products tumbling off supermarket shelves, but there were no immediate reports of injuries.",building
"The quake hit at a depth of 10 km (6 miles), the German Research Center for Geosciences (GFZ) said, with its epicentre located 40 km (25 miles) south of the province of San Juan.",building
"The aftershocks ranged in magnitude from 3.5 to 5, the European Mediterranean Seismological Centre (EMSC) said.",building
"Posts on social media showed many homes and buildings shaking, with the seismic activity leaving cracks in roads, while glass bottles fell off the shelves in shops.",building
San Juan Governor Sergio Uñac urged people to remain calm following the earthquake and called on them to reach out in case they need any assistance.,building
"""Let us put into practice all the measures we have learned to prevent incidents, while we are committed to knowing the impact of the (earthquake) to collaborate in everything necessary,"" he said bit.ly/3qyOf4a in a tweet, advising those who suffered damage or in need of assistance to call the emergency number 911.",building
"No tsunami warning was issued, the U.S. Tsunami Warning System said.",building
Reporting by Bhargav Acharya in Bengaluru; Editing by Himani Sarkar and Clarence Fernandez & Shri Navaratnam,building
Our Standards: The Thomson Reuters Trust Principles.,building
Trending Stories,building
Reuters News Now,building
Subscribe to our daily curated newsletter to receive the latest exclusive Reuters coverage delivered to your inbox.,building
All quotes delayed a minimum of 15 minutes.,building
See here for a complete list of exchanges and delays.,building
Discover Thomson Reuters,building
By Reuters Staff,building
2 Min Read,building
"(Reuters) - An earthquake of magnitude 6.8 struck west-central Argentina on Monday, followed by at least five aftershocks that shook buildings and sent products tumbling off supermarket shelves, but there were no immediate reports of injuries.",building
"The quake hit at a depth of 10 km (6 miles), the German Research Center for Geosciences (GFZ) said, with its epicentre located 40 km (25 miles) south of the province of San Juan.",building
"The aftershocks ranged in magnitude from 3.5 to 5, the European Mediterranean Seismological Centre (EMSC) said.",building
"Posts on social media showed many homes and buildings shaking, with the seismic activity leaving cracks in roads, while glass bottles fell off the shelves in shops.",building
San Juan Governor Sergio Uñac urged people to remain calm following the earthquake and called on them to reach out in case they need any assistance.,building
"""Let us put into practice all the measures we have learned to prevent incidents, while we are committed to knowing the impact of the (earthquake) to collaborate in everything necessary,"" he said bit.ly/3qyOf4a in a tweet, advising those who suffered damage or in need of assistance to call the emergency number 911.",building
"No tsunami warning was issued, the U.S. Tsunami Warning System said.",building
Reporting by Bhargav Acharya in Bengaluru; Editing by Himani Sarkar and Clarence Fernandez & Shri Navaratnam,building
Our Standards: The Thomson Reuters Trust Principles.,building
Trending Stories,building
Reuters News Now,building
Subscribe to our daily curated newsletter to receive the latest exclusive Reuters coverage delivered to your inbox.,building
All quotes delayed a minimum of 15 minutes.,building
See here for a complete list of exchanges and delays.,building
